epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc,lr
99,0.167440,0.940000,0.986000,0.699000,0.716000,0.002500
100,0.158323,0.943500,0.983000,0.698667,0.716000,0.002500
101,0.146735,0.950667,0.987833,0.701333,0.716000,0.002500
102,0.145733,0.951500,0.987333,0.702333,0.716000,0.002500
103,0.143225,0.948500,0.988000,0.703667,0.716000,0.002500
104,0.149494,0.951000,0.985167,0.707000,0.716000,0.002500
105,0.161483,0.945333,0.988667,0.706333,0.716000,0.002500
106,0.157399,0.947667,0.981833,0.703000,0.716000,0.002500
107,0.133475,0.957333,0.988333,0.712667,0.716000,0.002500
108,0.138751,0.954667,0.989000,0.715667,0.716000,0.002500
109,0.138801,0.954000,0.986667,0.701333,0.716000,0.002500
110,0.132466,0.957333,0.991667,0.715000,0.716000,0.001250
111,0.119703,0.962500,0.991667,0.715333,0.716000,0.001250
112,0.104738,0.967167,0.994000,0.708000,0.716000,0.001250
113,0.099820,0.967833,0.993333,0.711667,0.716000,0.001250
114,0.097336,0.968333,0.993500,0.715667,0.716000,0.001250
115,0.108067,0.966667,0.991000,0.703667,0.716000,0.001250
116,0.107453,0.964000,0.994167,0.713000,0.716000,0.001250
117,0.093678,0.970500,0.994833,0.707000,0.716000,0.001250
118,0.088638,0.969833,0.995667,0.711000,0.716000,0.001250
119,0.087971,0.970667,0.993667,0.712000,0.716000,0.001250
120,0.086980,0.970000,0.995500,0.713000,0.716000,0.001250
121,0.092563,0.968167,0.995667,0.713333,0.716000,0.001250
122,0.080491,0.975000,0.994833,0.710333,0.716000,0.001250
123,0.092116,0.972500,0.993833,0.712667,0.716000,0.001250
124,0.088968,0.969667,0.996000,0.706333,0.716000,0.001250
125,0.083672,0.971667,0.995500,0.711000,0.716000,0.001250
126,0.079522,0.974333,0.994333,0.711333,0.716000,0.001250
127,0.080936,0.974000,0.996333,0.715667,0.716000,0.001250
128,0.083357,0.975167,0.996333,0.713000,0.716000,0.001250
129,0.078957,0.974333,0.997000,0.714333,0.716000,0.001250
130,0.079462,0.975167,0.995500,0.712333,0.716000,0.001250
131,0.074114,0.977667,0.996500,0.713333,0.716000,0.001250
132,0.072910,0.977333,0.996167,0.711000,0.716000,0.001250
133,0.079081,0.975000,0.997167,0.708000,0.716000,0.001250
134,0.077343,0.975667,0.997167,0.713000,0.716000,0.001250
135,0.068987,0.979000,0.995167,0.707000,0.716000,0.001250
136,0.073298,0.975333,0.995667,0.713667,0.716000,0.001250
137,0.072616,0.976833,0.996667,0.715667,0.716000,0.001250
138,0.074307,0.975333,0.996833,0.713333,0.716000,0.001250
139,0.078841,0.975000,0.995333,0.707667,0.716000,0.001250
140,0.078198,0.975167,0.996667,0.716667,0.716667,0.001250
141,0.067037,0.977833,0.997500,0.713333,0.716667,0.001250
142,0.073069,0.974667,0.995333,0.709667,0.716667,0.001250
143,0.067990,0.977333,0.997000,0.707667,0.716667,0.001250
144,0.067555,0.976500,0.995500,0.714000,0.716667,0.001250
145,0.067289,0.977833,0.996167,0.712667,0.716667,0.001250
146,0.061540,0.981333,0.996000,0.712667,0.716667,0.001250
147,0.066706,0.976000,0.996667,0.710000,0.716667,0.001250
148,0.069544,0.977167,0.997333,0.715667,0.716667,0.001250
149,0.066270,0.977833,0.996833,0.711333,0.716667,0.001250
150,0.061276,0.980000,0.995000,0.707333,0.716667,0.001250
