epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc,overfit_gap
99,1.111220,0.952000,0.990500,0.728333,0.737333,0.262167
100,1.113362,0.950500,0.989167,0.733000,0.737333,0.256167
101,1.089272,0.957667,0.989000,0.730667,0.737333,0.258333
102,1.090286,0.956833,0.988833,0.726000,0.737333,0.262833
103,1.110375,0.950833,0.989833,0.727000,0.737333,0.262833
104,1.090721,0.955167,0.988667,0.729667,0.737333,0.259000
105,1.083720,0.952333,0.990667,0.723333,0.737333,0.267333
106,1.086353,0.949833,0.991167,0.725667,0.737333,0.265500
107,1.080367,0.958333,0.989667,0.727000,0.737333,0.262667
108,1.085079,0.955167,0.990167,0.732000,0.737333,0.258167
109,1.077278,0.953667,0.989333,0.724667,0.737333,0.264667
110,1.089858,0.954667,0.990833,0.730000,0.737333,0.260833
111,1.029697,0.960000,0.991333,0.729333,0.737333,0.262000
112,1.041586,0.957833,0.991667,0.731333,0.737333,0.260333
113,1.028132,0.957667,0.991667,0.729333,0.737333,0.262333
114,1.020799,0.960167,0.991167,0.735333,0.737333,0.255833
115,1.010734,0.961000,0.992333,0.730667,0.737333,0.261667
116,1.017749,0.956167,0.991500,0.729333,0.737333,0.262167
117,1.021265,0.964333,0.993000,0.729667,0.737333,0.263333
118,1.017024,0.956333,0.993333,0.732667,0.737333,0.260667
119,0.984444,0.961833,0.993000,0.733000,0.737333,0.260000
120,1.008153,0.962500,0.992667,0.730000,0.737333,0.262667
121,0.991816,0.963000,0.993333,0.730000,0.737333,0.263333
122,0.970177,0.960333,0.994000,0.726000,0.737333,0.268000
123,0.985558,0.961500,0.992333,0.730667,0.737333,0.261667
124,1.008463,0.961167,0.993167,0.730000,0.737333,0.263167
125,0.981334,0.961000,0.992167,0.727000,0.737333,0.265167
126,0.988099,0.961667,0.992500,0.726000,0.737333,0.266500
127,0.970569,0.961500,0.993000,0.725333,0.737333,0.267667
128,0.982400,0.967833,0.993667,0.731000,0.737333,0.262667
129,0.977487,0.961333,0.993833,0.731667,0.737333,0.262167
130,0.985388,0.966833,0.994333,0.729667,0.737333,0.264667
131,0.960258,0.963667,0.993833,0.735333,0.737333,0.258500
132,0.959515,0.962167,0.993667,0.733333,0.737333,0.260333
133,0.956341,0.963000,0.994500,0.729000,0.737333,0.265500
134,0.978394,0.969000,0.993333,0.733000,0.737333,0.260333
135,0.963039,0.964333,0.994833,0.732333,0.737333,0.262500
136,0.960070,0.966167,0.993500,0.733000,0.737333,0.260500
137,0.957202,0.962000,0.993667,0.729667,0.737333,0.264000
138,0.967428,0.961833,0.993500,0.731000,0.737333,0.262500
139,0.966866,0.963833,0.993833,0.732667,0.737333,0.261167
140,0.939594,0.963333,0.993833,0.728667,0.737333,0.265167
141,0.966001,0.963167,0.994167,0.729667,0.737333,0.264500
142,0.939325,0.963333,0.994000,0.731000,0.737333,0.263000
143,0.941175,0.964667,0.993000,0.732667,0.737333,0.260333
144,0.948879,0.963000,0.993833,0.729333,0.737333,0.264500
145,0.945497,0.963167,0.994667,0.727333,0.737333,0.267333
146,0.940105,0.963333,0.994167,0.728000,0.737333,0.266167
147,0.947838,0.965167,0.994167,0.731000,0.737333,0.263167
148,0.945478,0.964000,0.994667,0.728000,0.737333,0.266667
149,0.943380,0.966000,0.994333,0.730667,0.737333,0.263667
150,0.931105,0.966500,0.995000,0.727667,0.737333,0.267333
